"name","metascore","console","userscore","date","date.formatted","Genre","Publisher"
"18 Wheeler: American Pro Trucker",67,"DC",71,"May 22, 2001",2001-05-22,"Racing","Acclaim Entertainment"
"18 Wheeler: American Pro Trucker",67,"DC",71,"May 22, 2001",2001-05-22,"Racing","Acclaim Entertainment"
"18 Wheeler: American Pro Trucker",61,"PS2",56,"Nov 14, 2001",2001-11-14,"Racing","Acclaim Entertainment"
"18 Wheeler: American Pro Trucker",61,"PS2",56,"Nov 14, 2001",2001-11-14,"Racing","Acclaim Entertainment"
"187 Ride or Die",52,"PS2",70,"Aug 23, 2005",2005-08-23,NA,NA
"187 Ride or Die",51,"XBOX",69,"Aug 24, 2005",2005-08-24,NA,NA
"1942: Joint Strike",68,"X360",62,"Jul 23, 2008",2008-07-23,NA,NA
"1942: Joint Strike",69,"PS3",58,"Jul 24, 2008",2008-07-24,NA,NA
"1950s Lawn Mower Kids",43,"DS",NA,"Nov 3, 2011",2011-11-03,NA,NA
"1954: Alcatraz",58,"PC",63,"Mar 11, 2014",2014-03-11,NA,NA
"1979 Revolution: Black Friday",80,"PC",77,"Apr 5, 2016",2016-04-05,NA,NA
"1979 Revolution: Black Friday",68,"PS4",49,"Jul 31, 2018",2018-07-31,NA,NA
"1nsane",69,"PC",76,"Feb 5, 2001",2001-02-05,NA,NA
"2002 FIFA World Cup",78,"GC",77,"Apr 30, 2002",2002-04-30,"Sports","Electronic Arts"
"2002 FIFA World Cup",78,"GC",77,"Apr 30, 2002",2002-04-30,"Sports","Electronic Arts"
"2002 FIFA World Cup",78,"GC",77,"Apr 30, 2002",2002-04-30,"Sports","Electronic Arts"
"2002 FIFA World Cup",73,"PS2",56,"Apr 22, 2002",2002-04-22,"Sports","Electronic Arts"
"2002 FIFA World Cup",73,"PS2",56,"Apr 22, 2002",2002-04-22,"Sports","Electronic Arts"
"2002 FIFA World Cup",73,"PS2",56,"Apr 22, 2002",2002-04-22,"Sports","Electronic Arts"
"2002 FIFA World Cup",79,"XBOX",78,"Apr 22, 2002",2002-04-22,"Sports","Electronic Arts"
"2002 FIFA World Cup",79,"XBOX",78,"Apr 22, 2002",2002-04-22,"Sports","Electronic Arts"
"2002 FIFA World Cup",79,"XBOX",78,"Apr 22, 2002",2002-04-22,"Sports","Electronic Arts"
"2002 FIFA World Cup",80,"PC",77,"Apr 30, 2002",2002-04-30,"Sports","Electronic Arts"
"2002 FIFA World Cup",80,"PC",77,"Apr 30, 2002",2002-04-30,"Sports","Electronic Arts"
"2002 FIFA World Cup",80,"PC",77,"Apr 30, 2002",2002-04-30,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",82,"PS3",77,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",82,"PS3",77,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",82,"PS3",77,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",82,"PS3",77,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",83,"X360",82,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",83,"X360",82,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",83,"X360",82,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",83,"X360",82,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",69,"PSP",74,"Apr 26, 2010",2010-04-26,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",69,"PSP",74,"Apr 26, 2010",2010-04-26,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",69,"PSP",74,"Apr 26, 2010",2010-04-26,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",69,"PSP",74,"Apr 26, 2010",2010-04-26,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",70,"WII",67,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",70,"WII",67,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",70,"WII",67,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2010 FIFA World Cup South Africa",70,"WII",67,"Apr 27, 2010",2010-04-27,"Sports","Electronic Arts"
"2014 FIFA World Cup Brazil",73,"PS3",43,"Apr 15, 2014",2014-04-15,"Sports","Electronic Arts"
"2014 FIFA World Cup Brazil",73,"PS3",43,"Apr 15, 2014",2014-04-15,"Sports","Electronic Arts"
"2014 FIFA World Cup Brazil",74,"X360",44,"Apr 15, 2014",2014-04-15,"Sports","Electronic Arts"
"2014 FIFA World Cup Brazil",74,"X360",44,"Apr 15, 2014",2014-04-15,"Sports","Electronic Arts"
"2064: Read Only Memories",76,"PS4",33,"Jan 17, 2017",2017-01-17,NA,NA
"2064: Read Only Memories INTEGRAL",74,"Switch",76,"Jul 26, 2018",2018-07-26,NA,NA
"20XX",77,"Switch",79,"Jul 10, 2018",2018-07-10,NA,NA
"24: The Game",62,"PS2",82,"Feb 28, 2006",2006-02-28,"Adventure","Sony Computer Entertainment"
"25 to Life",41,"XBOX",72,"Jan 17, 2006",2006-01-17,"Shooter","Eidos Interactive"
"25 to Life",41,"XBOX",72,"Jan 17, 2006",2006-01-17,"Shooter","Eidos Interactive"
"25 to Life",39,"PC",51,"Jan 17, 2006",2006-01-17,"Shooter","Eidos Interactive"
"25 to Life",39,"PC",51,"Jan 17, 2006",2006-01-17,"Shooter","Eidos Interactive"
"25 to Life",39,"PS2",49,"Jan 17, 2006",2006-01-17,"Shooter","Eidos Interactive"
